codigo_noticia,Quantidade de Chunks (Fragmentos),titulo_noticia,Justificativa
140624AGR_B,131,MST se mobiliza em Jornada da Natureza e da Juventude na semana do meio ambiente,Documento Completo/Relatório Longo
030924AGR_A,102,Legado de Mãe Bernadete cresce como raiz de luta no Quilombo Pitanga dos Palmares (BA),Documento Completo/Relatório Longo
260124AGR_A,100,Educação! Quilombolas de Santa Helena fazem denúncia por falta de acessos a escolas,Documento Completo/Relatório Longo
161224AGR_E,100,"O conhecimento agroecológico 'é uma das nossas últimas saídas' enquanto civilização, alerta presidente da ABA",Documento Completo/Relatório Longo
260124AGR_A,100,Cooperativa feminina transforma quintais produtivos em exemplos de sucesso,Documento Completo/Relatório Longo
010924AGR_B,95,MST denuncia ameaça às famílias em acampamento no Paraná,Documento Completo/Relatório Longo
240424AGR_C,94,Os quilombolas que estão desafiando mineradora britânica acusada de soterrar rio na Chapada Diamantina,Documento Completo/Relatório Longo
291024AGR_A,93,Fechamentode escolasdo campo ameaça comunidades rurais eprejudica acesso à educação no Paraná,Documento Completo/Relatório Longo
290524AGR_C,83,Conheça mulheres quilombolas que mobilizam territórios para enfrentar tragédia climática no RS,Documento Completo/Relatório Longo
240424AGR_A,83,Os quilombolas que estão desafiando mineradora britânica acusada de soterrar rio na Chapada Diamantina,Documento Completo/Relatório Longo
080324AGR_A,81,Terra fértil para os sonhos: Mulheres da Amazônia transformam quintais em fontes de vida e prosperidade,Documento Completo/Relatório Longo
170824AGR_D,78,"""Mãe Bernadete, presente"":  comunidade defende legado um ano  após crime",Documento Completo/Relatório Longo
161024AGR_A,76,"Solidariedade germina entre mulheres Sem Terra do Sul, em Jornada de enfrentamento à crise ambiental",Documento Completo/Relatório Longo
280824AGR_A,75,Exitoso Encontro da Liga dos Camponeses Pobres do Sul do Pará e Tocantins!,Documento Completo/Relatório Longo
121224AGR_A,74,MST só deixará sede do Incra mediante novos assentamentos,Documento Completo/Relatório Longo
201224AGR_D,71,MST traz balanço de 2024 celebrando os 40 anos de luta e perspectivas para a Reforma Agrária,Documento Completo/Relatório Longo
