0,1,2,3,4,5
Pos.,Var.,Cidade,,Pop.[1],
Mais de 500.000 habitantes,Mais de 500.000 habitantes,Mais de 500.000 habitantes,Mais de 500.000 habitantes,Mais de 500.000 habitantes,Mais de 500.000 habitantes
1,,Cuiabá,,691.875,
Mais de 200.000 habitantes,Mais de 200.000 habitantes,Mais de 200.000 habitantes,Mais de 200.000 habitantes,Mais de 200.000 habitantes,Mais de 200.000 habitantes
2,,Várzea Grande,,318.922,
3,,Rondonópolis,,263.708,
4,,Sinop,,223.780,
Mais de 100.000 habitantes,Mais de 100.000 habitantes,Mais de 100.000 habitantes,Mais de 100.000 habitantes,Mais de 100.000 habitantes,Mais de 100.000 habitantes
5,,Sorriso,,124.665,
6,,Tangará da Serra,,114.603,
Menos de 100.000 habitantes,Menos de 100.000 habitantes,Menos de 100.000 habitantes,Menos de 100.000 habitantes,Menos de 100.000 habitantes,Menos de 100.000 habitantes
7,,Primavera do Leste,,96.006,
8,,Lucas do Rio Verde,,95.792,
9,,Cáceres,,91.767,
10,,Barra do Garças,,73.878,
11,,Nova Mutum,,63.455,
12,,Alta Floresta,,62.158,
13,,Pontes e Lacerda,,55.762,
14,,Campo Novo do Parecis,,51.722,
Menos de 50.000 habitantes,Menos de 50.000 habitantes,Menos de 50.000 habitantes,Menos de 50.000 habitantes,Menos de 50.000 habitantes,Menos de 50.000 habitantes
15,,Campo Verde,,49.053,
16,,Juína,,48.396,
17,,Confresa,,38.460,
18,,Juara,,36.089,
19,,Peixoto de Azevedo,,33.754,
20,,Sapezal,,32.514,
21,,Água Boa,,32.099,
22,,Colíder,,32.054,
23,,Guarantã do Norte,,31.209,
24,,Poconé,,31.203,
25,,Querência,,31.100,
26,,Jaciara,,29.803,
27,,Barra do Bugres,,29.406,
28,,Paranatinga,,28.870,
29,,Canarana,,28.324,
30,,Mirassol d'Oeste,,27.637,
31,,Aripuanã,,26.558,
32,,Colniza,,26.026,
33,,Nova Xavantina,,25.915,
34,,Poxoréu,,25.103,
35,,Diamantino,,22.623,
36,,Matupá,,21.959,
Menos de 20.000 habitantes,Menos de 20.000 habitantes,Menos de 20.000 habitantes,Menos de 20.000 habitantes,Menos de 20.000 habitantes,Menos de 20.000 habitantes
37,,Vila Rica,,19.686,
38,,Chapada dos Guimarães,,19.458,
39,,Pedra Preta,,18.946,
40,,Comodoro,,18.469,
41,,Alto Araguaia,,17.751,
42,,São José dos Quatro Marcos,,17.721,
43,,Brasnorte,,17.645,
44,,Vila Bela da Santíssima Trindade,,17.592,
45,,Santo Antônio de Leverger,,16.839,
46,,Nova Olímpia,,16.204,
47,,Campinápolis,,15.808,
48,,Nobres,,15.796,
49,,Tapurah,,15.638,
50,,Rosário Oeste,,15.041,
51,,Araputanga,,14.805,
52,,São Félix do Araguaia,,14.604,
53,,São José do Rio Claro,,14.455,
54,,Nova Bandeirantes,,14.340,
55,,Alto Garças,,13.956,
56,,Porto Alegre do Norte,,12.649,
57,,Itiquira,,12.587,
58,,Paranaíta,,12.079,
59,,Alto Taquari,,11.877,
60,,Nova Canaã do Norte,,11.734,
61,,Nossa Senhora do Livramento,,11.658,
62,,Juscimeira,,11.622,
63,,Marcelândia,,11.355,
64,,Arenápolis,,10.769,
65,,Vera,,10.758,
66,,Terra Nova do Norte,,10.591,
67,,Ribeirão Cascalheira,,10.541,
68,,Feliz Natal,,10.523,
69,,Carlinda,,10.260,
70,,Guiratinga,,10.252,
71,,Porto Esperidião,,10.088,
72,,Juruena,,10.057,
73,,Cotriguaçu,,10.030,
74,,Nova Ubiratã,,9.760,
Menos de 10.000 habitantes,Menos de 10.000 habitantes,Menos de 10.000 habitantes,Menos de 10.000 habitantes,Menos de 10.000 habitantes,Menos de 10.000 habitantes
75,,Campos de Júlio,,9.946,
76,,Tabaporã,,9.895,
77,,Gaúcha do Norte,,9.397,
78,,Cláudia,,9.301,
79,,Apiacás,,8.693,
80,,Ipiranga do Norte,,8.658,
