municipio,populacao
Cuiabá,691875
Várzea Grande,318922
Rondonópolis,263708
Sinop,223780
Sorriso,124665
Tangará da Serra,114603
Primavera do Leste,96006
Lucas do Rio Verde,95792
Cáceres,91767
Barra do Garças,73878
Nova Mutum,63455
Alta Floresta,62158
Pontes e Lacerda,55762
Campo Novo do Parecis,51722
Campo Verde,49053
Juína,48396
Confresa,38460
Juara,36089
Peixoto de Azevedo,33754
Sapezal,32514
Água Boa,32099
Colíder,32054
Guarantã do Norte,31209
Poconé,31203
Querência,31100
Jaciara,29803
Barra do Bugres,29406
Paranatinga,28870
Canarana,28324
Mirassol d'Oeste,27637
Aripuanã,26558
Colniza,26026
Nova Xavantina,25915
Poxoréu,25103
Diamantino,22623
Matupá,21959
Vila Rica,19686
Chapada dos Guimarães,19458
Pedra Preta,18946
Comodoro,18469
Alto Araguaia,17751
São José dos Quatro Marcos,17721
Brasnorte,17645
Vila Bela da Santíssima Trindade,17592
Santo Antônio de Leverger,16839
Nova Olímpia,16204
Campinápolis,15808
Nobres,15796
Tapurah,15638
Rosário Oeste,15041
Araputanga,14805
São Félix do Araguaia,14604
São José do Rio Claro,14455
Nova Bandeirantes,14340
Alto Garças,13956
Porto Alegre do Norte,12649
Itiquira,12587
Paranaíta,12079
Alto Taquari,11877
Nova Canaã do Norte,11734
Nossa Senhora do Livramento,11658
Juscimeira,11622
Marcelândia,11355
Arenápolis,10769
Vera,10758
Terra Nova do Norte,10591
Ribeirão Cascalheira,10541
Feliz Natal,10523
Carlinda,10260
Guiratinga,10252
Porto Esperidião,10088
Juruena,10057
Cotriguaçu,10030
Campos de Júlio,9946
Tabaporã,9895
Nova Ubiratã,9760
Gaúcha do Norte,9397
Cláudia,9301
Apiacás,8693
Ipiranga do Norte,8658
Nova Monte Verde,8470
Itanhangá,8257
Bom Jesus do Araguaia,7912
Dom Aquino,7890
Jauru,7881
Santa Terezinha,7737
Alto Paraguai,7525
Pontal do Araguaia,7441
Jangada,7413
Castanheira,7392
Novo São Joaquim,7239
Barão de Melgaço,7137
Nova Lacerda,7072
Denise,6675
Cocalinho,6495
Novo Mundo,6368
General Carneiro,6319
São José do Xingu,6234
Alto Boa Vista,5920
Nortelândia,5890
Boa Esperança do Norte,5877
Santa Carmem,5795
Nova Maringá,5705
Porto dos Gaúchos,5705
Itaúba,5201
Curvelândia,4970
Acorizal,4948
Lambari d'Oeste,4662
Nova Nazaré,4575
Nova Guarita,4546
Nova Santa Helena,4502
Canabrava do Norte,4451
Rio Branco,4440
São Pedro da Cipa,4250
Santo Antônio do Leste,4244
Torixoréu,4238
Araguaiana,4005
Conquista d'Oeste,3908
União do Sul,3904
Nova Brasilândia,3791
Nova Marilândia,3731
Salto do Céu,3657
Santa Rita do Trivelato,3536
Rondolândia,3518
Planalto da Serra,3328
Novo Horizonte do Norte,3267
Porto Estrela,3141
Figueirópolis d'Oeste,3056
Tesouro,2935
Santa Cruz do Xingu,2904
Vale de São Domingos,2892
Glória d'Oeste,2878
Ribeirãozinho,2733
São José do Povo,2716
Luciara,2616
Santo Afonso,2416
Indiavaí,2172
Ponte Branca,2098
Novo Santo Antônio,2041
Reserva do Cabaçal,2020
Serra Nova Dourada,1941
Araguainha,997
