Rede Neural Multi-Task - Acurácia Derivada: 60.64%

                                                   precision    recall  f1-score   support

                                                        0.80      0.67      0.73         6
                                      ACAMPAMENTO       0.67      0.60      0.63        10
                              ASSEMBLEIA/PLENÁRIA       0.38      0.62      0.48        16
                                        AUDIÊNCIA       0.20      0.33      0.25         3
                                AUDIÊNCIA PÚBLICA       0.38      0.75      0.50        12
                                 BLOQUEIO DE VIAS       0.42      0.83      0.56         6
                                         CAMPANHA       1.00      1.00      1.00         3
                                     CARTA ABERTA       0.40      0.40      0.40        43
              CIRCUITOS CURTOS DE COMERCIALIZAÇÃO       0.62      0.56      0.59         9
                      CONQUISTA DE INFRAESTRUTURA       0.75      1.00      0.86         3
                               CONQUISTA JUDICIAL       0.60      0.66      0.63        32
                   CRIAÇÃO DE TECNOLOGIAS SOCIAIS       0.00      0.00      0.00         0
                                 DEMANDA JUDICIAL       0.74      0.80      0.77        40
                                 DERROTA JUDICIAL       0.50      1.00      0.67         4
                      DIREITO DE CONSULTA POPULAR       0.50      1.00      0.67         2
                              DOAÇÃO DE ALIMENTOS       0.50      0.40      0.44        10
                               DOAÇÃO DE PRODUTOS       1.00      1.00      1.00         1
DOCUMENTO DE FORMAÇÃO E INFORMAÇÃO DOS MOVIMENTOS       0.60      0.60      0.60         5
                                         ENCONTRO       0.80      0.48      0.60       137
                             ENTREVISTA CONCEDIDA       0.69      0.59      0.63        63
                           FESTIVIDADES CULTURAIS       0.62      0.62      0.62        32
                                         FORMAÇÃO       0.38      0.86      0.52         7
                                            FÓRUM       0.40      0.40      0.40         5
                                JORNADAS DE LUTAS       0.44      0.60      0.51        20
                                           MARCHA       0.47      0.60      0.53        15
                            MERCADO INSTITUCIONAL       0.67      0.73      0.70        11
                                 NOTA DE DENÚNCIA       0.85      0.57      0.68        92
                                    NOTA DE PESAR       0.20      1.00      0.33         2
                                  NOTA DE REPÚDIO       0.50      0.88      0.64         8
      OCUPAÇÃO DE CARGOS PÚBLICOS OU CANDIDATURAS       0.75      0.75      0.75         4
                       OCUPAÇÃO DE ESPAÇO PÚBLICO       0.46      0.55      0.50        11
                       OCUPAÇÃO DE PRÉDIO PRIVADO       0.29      1.00      0.44         2
                       OCUPAÇÃO DE PRÉDIO PÚBLICO       0.82      1.00      0.90         9
                                OCUPAÇÃO DE TERRA       0.63      0.63      0.63        27
                PARTICIPAÇÃO EM AUDIÊNCIA PÚBLICA       1.00      1.00      1.00         4
                                         PASSEATA       0.57      0.80      0.67         5
                                        PREMIAÇÃO       0.33      1.00      0.50         3
                  PRODUÇÃO DE ALIMENTOS SAUDÁVEIS       0.76      0.81      0.79        16
                               PROJETOS TEMÁTICOS       0.80      0.80      0.80         5
                                  REFLORESTAMENTO       0.33      0.33      0.33         3
                                          REUNIÃO       0.60      0.59      0.60        54
                   TENTATIVA DE OCUPAÇÃO DE TERRA       0.20      0.33      0.25         3
                               VIOLÊNCIA JURÍDICA       0.50      0.75      0.60         4

                                         accuracy                           0.61       747
                                        macro avg       0.56      0.69      0.60       747
                                     weighted avg       0.66      0.61      0.61       747
